TANGGAL,KOMODITI,SATUAN,HARGA
1/3/2018,Beras Medium,Kg,11675
2/3/2018,Beras Medium,Kg,11075
5/3/2018,Beras Medium,Kg,10825
6/3/2018,Beras Medium,Kg,10660
7/3/2018,Beras Medium,Kg,10760
8/3/2018,Beras Medium,Kg,11310
9/3/2018,Beras Medium,Kg,10760
12/3/2018,Beras Medium,Kg,11160
13/03/2018,Beras Medium,Kg,10960
14/03/2018,Beras Medium,Kg,11160
15/03/2018,Beras Medium,Kg,10860
16/03/2018,Beras Medium,Kg,10760
19/03/2018,Beras Medium,Kg,10820
20/03/2018,Beras Medium,Kg,10820
21/03/2018,Beras Medium,Kg,10770
22/03/2018,Beras Medium,Kg,10730
23/03/2018,Beras Medium,Kg,10730
26/03/2018,Beras Medium,Kg,10770
27/03/2018,Beras Medium,Kg,10880
28/03/2018,Beras Medium,Kg,10940
29/03/2018,Beras Medium,Kg,10940
1/3/2018,Beras Premium,Kg,13750
2/3/2018,Beras Premium,Kg,13083
5/3/2018,Beras Premium,Kg,12633
6/3/2018,Beras Premium,Kg,12725
7/3/2018,Beras Premium,Kg,12538
8/3/2018,Beras Premium,Kg,12550
9/3/2018,Beras Premium,Kg,12363
12/3/2018,Beras Premium,Kg,13013
13/03/2018,Beras Premium,Kg,12575
14/03/2018,Beras Premium,Kg,13325
15/03/2018,Beras Premium,Kg,13325
16/03/2018,Beras Premium,Kg,13013
19/03/2018,Beras Premium,Kg,12763
20/03/2018,Beras Premium,Kg,12700
21/03/2018,Beras Premium,Kg,12700
22/03/2018,Beras Premium,Kg,12800
23/03/2018,Beras Premium,Kg,12550
26/03/2018,Beras Premium,Kg,12575
27/03/2018,Beras Premium,Kg,13025
28/03/2018,Beras Premium,Kg,13063
29/03/2018,Beras Premium,Kg,13063
1/3/2018,Gula Pasir,Kg,13840
2/3/2018,Gula Pasir,Kg,13940
5/3/2018,Gula Pasir,Kg,13450
6/3/2018,Gula Pasir,Kg,13400
7/3/2018,Gula Pasir,Kg,13600
8/3/2018,Gula Pasir,Kg,13840
9/3/2018,Gula Pasir,Kg,13690
12/3/2018,Gula Pasir,Kg,13400
13/03/2018,Gula Pasir,Kg,13500
14/03/2018,Gula Pasir,Kg,13500
15/03/2018,Gula Pasir,Kg,13500
16/03/2018,Gula Pasir,Kg,13500
19/03/2018,Gula Pasir,Kg,13540
20/03/2018,Gula Pasir,Kg,13640
21/03/2018,Gula Pasir,Kg,13340
22/03/2018,Gula Pasir,Kg,13300
23/03/2018,Gula Pasir,Kg,13300
26/03/2018,Gula Pasir,Kg,13490
27/03/2018,Gula Pasir,Kg,13410
28/03/2018,Gula Pasir,Kg,13490
29/03/2018,Gula Pasir,Kg,13340
1/3/2018,Minyak Goreng Bimoli Botol,Liter,13613
2/3/2018,Minyak Goreng Bimoli Botol,Liter,13425
5/3/2018,Minyak Goreng Bimoli Botol,Liter,13075
6/3/2018,Minyak Goreng Bimoli Botol,Liter,13513
7/3/2018,Minyak Goreng Bimoli Botol,Liter,13450
8/3/2018,Minyak Goreng Bimoli Botol,Liter,13500
9/3/2018,Minyak Goreng Bimoli Botol,Liter,12875
12/3/2018,Minyak Goreng Bimoli Botol,Liter,13375
13/03/2018,Minyak Goreng Bimoli Botol,Liter,12938
14/03/2018,Minyak Goreng Bimoli Botol,Liter,13500
15/03/2018,Minyak Goreng Bimoli Botol,Liter,13625
16/03/2018,Minyak Goreng Bimoli Botol,Liter,13625
19/03/2018,Minyak Goreng Bimoli Botol,Liter,13575
20/03/2018,Minyak Goreng Bimoli Botol,Liter,13450
21/03/2018,Minyak Goreng Bimoli Botol,Liter,13638
22/03/2018,Minyak Goreng Bimoli Botol,Liter,13638
23/03/2018,Minyak Goreng Bimoli Botol,Liter,13450
26/03/2018,Minyak Goreng Bimoli Botol,Liter,13450
27/03/2018,Minyak Goreng Bimoli Botol,Liter,13450
28/03/2018,Minyak Goreng Bimoli Botol,Liter,13050
29/03/2018,Minyak Goreng Bimoli Botol,Liter,13240
1/3/2018,Minyak Goreng Curah,Liter,12550
2/3/2018,Minyak Goreng Curah,Liter,12175
5/3/2018,Minyak Goreng Curah,Liter,12325
6/3/2018,Minyak Goreng Curah,Liter,12100
7/3/2018,Minyak Goreng Curah,Liter,12700
8/3/2018,Minyak Goreng Curah,Liter,12625
9/3/2018,Minyak Goreng Curah,Liter,12938
12/3/2018,Minyak Goreng Curah,Liter,12450
13/03/2018,Minyak Goreng Curah,Liter,12450
14/03/2018,Minyak Goreng Curah,Liter,12325
15/03/2018,Minyak Goreng Curah,Liter,12700
16/03/2018,Minyak Goreng Curah,Liter,12575
19/03/2018,Minyak Goreng Curah,Liter,12550
20/03/2018,Minyak Goreng Curah,Liter,12425
21/03/2018,Minyak Goreng Curah,Liter,12550
22/03/2018,Minyak Goreng Curah,Liter,12640
23/03/2018,Minyak Goreng Curah,Liter,12890
26/03/2018,Minyak Goreng Curah,Liter,12690
27/03/2018,Minyak Goreng Curah,Liter,12760
28/03/2018,Minyak Goreng Curah,Liter,12740
29/03/2018,Minyak Goreng Curah,Liter,12363
1/3/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
2/3/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,123000
5/3/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,119000
6/3/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,122000
7/3/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,122000
8/3/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,123000
9/3/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
12/3/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,122000
13/03/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,122000
14/03/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,120500
15/03/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,120500
16/03/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,123000
19/03/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,120660
20/03/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,120660
21/03/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,120660
22/03/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,120660
23/03/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,121660
26/03/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,120660
27/03/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,120660
28/03/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,120660
29/03/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
1/3/2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,118333
2/3/2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,121667
5/3/2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,116667
6/3/2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,125000
7/3/2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,125000
8/3/2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,120000
9/3/2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,120000
12/3/2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,120000
13/03/2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,123333
14/03/2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,116667
15/03/2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,117500
16/03/2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,123333
19/03/2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,121667
20/03/2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,120000
21/03/2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,118333
22/03/2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,120000
23/03/2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,120000
26/03/2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,120000
27/03/2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,120000
28/03/2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,116667
29/03/2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,121667
1/3/2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,91000
2/3/2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,92667
5/3/2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,83333
6/3/2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,76667
7/3/2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,85000
8/3/2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,100000
9/3/2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,100000
12/3/2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,100000
13/03/2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,93333
14/03/2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,85000
15/03/2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,100000
16/03/2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,101667
19/03/2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,100833
20/03/2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,100000
21/03/2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,81667
22/03/2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,86667
23/03/2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,100000
26/03/2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,93333
27/03/2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,100000
28/03/2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,85000
29/03/2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,101667
1/3/2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,79333
2/3/2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,72667
5/3/2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,53333
6/3/2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,66667
7/3/2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,64167
8/3/2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,66667
9/3/2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,60000
12/3/2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,71667
13/03/2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,74000
14/03/2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,55000
15/03/2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,61667
16/03/2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,76667
19/03/2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,69167
20/03/2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,68333
21/03/2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,70000
22/03/2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,66667
23/03/2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,65000
26/03/2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,76667
27/03/2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,71667
28/03/2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,70000
29/03/2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,70000
1/3/2018,"Daging Sapi, Impor, Beku",Kg,90000
2/3/2018,"Daging Sapi, Impor, Beku",Kg,90000
5/3/2018,"Daging Sapi, Impor, Beku",Kg,90000
6/3/2018,"Daging Sapi, Impor, Beku",Kg,90000
7/3/2018,"Daging Sapi, Impor, Beku",Kg,90000
8/3/2018,"Daging Sapi, Impor, Beku",Kg,87500
9/3/2018,"Daging Sapi, Impor, Beku",Kg,87500
12/3/2018,"Daging Sapi, Impor, Beku",Kg,85000
13/03/2018,"Daging Sapi, Impor, Beku",Kg,85000
14/03/2018,"Daging Sapi, Impor, Beku",Kg,85000
15/03/2018,"Daging Sapi, Impor, Beku",Kg,95000
16/03/2018,"Daging Sapi, Impor, Beku",Kg,95000
19/03/2018,"Daging Sapi, Impor, Beku",Kg,96650
20/03/2018,"Daging Sapi, Impor, Beku",Kg,86650
21/03/2018,"Daging Sapi, Impor, Beku",Kg,86650
22/03/2018,"Daging Sapi, Impor, Beku",Kg,85850
23/03/2018,"Daging Sapi, Impor, Beku",Kg,85850
26/03/2018,"Daging Sapi, Impor, Beku",Kg,86650
27/03/2018,"Daging Sapi, Impor, Beku",Kg,87500
28/03/2018,"Daging Sapi, Impor, Beku",Kg,89150
29/03/2018,"Daging Sapi, Impor, Beku",Kg,89150
1/3/2018,"Daging Sapi, Lokal, Has Dalam",Kg,143333
2/3/2018,"Daging Sapi, Lokal, Has Dalam",Kg,146667
5/3/2018,"Daging Sapi, Lokal, Has Dalam",Kg,146667
6/3/2018,"Daging Sapi, Lokal, Has Dalam",Kg,145833
7/3/2018,"Daging Sapi, Lokal, Has Dalam",Kg,148333
8/3/2018,"Daging Sapi, Lokal, Has Dalam",Kg,147500
9/3/2018,"Daging Sapi, Lokal, Has Dalam",Kg,143333
12/3/2018,"Daging Sapi, Lokal, Has Dalam",Kg,146667
13/03/2018,"Daging Sapi, Lokal, Has Dalam",Kg,146667
14/03/2018,"Daging Sapi, Lokal, Has Dalam",Kg,143333
15/03/2018,"Daging Sapi, Lokal, Has Dalam",Kg,145000
16/03/2018,"Daging Sapi, Lokal, Has Dalam",Kg,151667
19/03/2018,"Daging Sapi, Lokal, Has Dalam",Kg,148333
20/03/2018,"Daging Sapi, Lokal, Has Dalam",Kg,148333
21/03/2018,"Daging Sapi, Lokal, Has Dalam",Kg,142500
22/03/2018,"Daging Sapi, Lokal, Has Dalam",Kg,145000
23/03/2018,"Daging Sapi, Lokal, Has Dalam",Kg,146667
26/03/2018,"Daging Sapi, Lokal, Has Dalam",Kg,146667
27/03/2018,"Daging Sapi, Lokal, Has Dalam",Kg,146667
28/03/2018,"Daging Sapi, Lokal, Has Dalam",Kg,143333
29/03/2018,"Daging Sapi, Lokal, Has Dalam",Kg,145000
1/3/2018,Ayam Boiler,ekor,37760
2/3/2018,Ayam Boiler,ekor,35560
5/3/2018,Ayam Boiler,ekor,36400
6/3/2018,Ayam Boiler,ekor,36600
7/3/2018,Ayam Boiler,ekor,36200
8/3/2018,Ayam Boiler,ekor,34400
9/3/2018,Ayam Boiler,ekor,38700
12/3/2018,Ayam Boiler,ekor,36340
13/03/2018,Ayam Boiler,ekor,37140
14/03/2018,Ayam Boiler,ekor,35540
15/03/2018,Ayam Boiler,ekor,37940
16/03/2018,Ayam Boiler,ekor,40040
19/03/2018,Ayam Boiler,ekor,39660
20/03/2018,Ayam Boiler,ekor,36960
21/03/2018,Ayam Boiler,ekor,38060
22/03/2018,Ayam Boiler,ekor,38400
23/03/2018,Ayam Boiler,ekor,40500
26/03/2018,Ayam Boiler,ekor,38460
27/03/2018,Ayam Boiler,ekor,37860
28/03/2018,Ayam Boiler,ekor,37760
29/03/2018,Ayam Boiler,ekor,34260
1/3/2018,Ayam Kampung,ekor,66160
2/3/2018,Ayam Kampung,ekor,85825
5/3/2018,Ayam Kampung,ekor,87767
6/3/2018,Ayam Kampung,ekor,87767
7/3/2018,Ayam Kampung,ekor,86100
8/3/2018,Ayam Kampung,ekor,81675
9/3/2018,Ayam Kampung,ekor,83900
12/3/2018,Ayam Kampung,ekor,80425
13/03/2018,Ayam Kampung,ekor,79900
14/03/2018,Ayam Kampung,ekor,85567
15/03/2018,Ayam Kampung,ekor,79800
16/03/2018,Ayam Kampung,ekor,80550
19/03/2018,Ayam Kampung,ekor,82825
20/03/2018,Ayam Kampung,ekor,85825
21/03/2018,Ayam Kampung,ekor,86100
22/03/2018,Ayam Kampung,ekor,86100
23/03/2018,Ayam Kampung,ekor,77075
26/03/2018,Ayam Kampung,ekor,87767
27/03/2018,Ayam Kampung,ekor,88750
28/03/2018,Ayam Kampung,ekor,82075
29/03/2018,Ayam Kampung,ekor,82767
1/3/2018,Telur Ayam Ras,Kg,22860
2/3/2018,Telur Ayam Ras,Kg,23360
5/3/2018,Telur Ayam Ras,Kg,23160
6/3/2018,Telur Ayam Ras,Kg,22060
7/3/2018,Telur Ayam Ras,Kg,22160
8/3/2018,Telur Ayam Ras,Kg,22350
9/3/2018,Telur Ayam Ras,Kg,23200
12/3/2018,Telur Ayam Ras,Kg,22600
13/03/2018,Telur Ayam Ras,Kg,22400
14/03/2018,Telur Ayam Ras,Kg,22100
15/03/2018,Telur Ayam Ras,Kg,22500
16/03/2018,Telur Ayam Ras,Kg,22500
19/03/2018,Telur Ayam Ras,Kg,22640
20/03/2018,Telur Ayam Ras,Kg,22540
21/03/2018,Telur Ayam Ras,Kg,21840
22/03/2018,Telur Ayam Ras,Kg,21400
23/03/2018,Telur Ayam Ras,Kg,21600
26/03/2018,Telur Ayam Ras,Kg,21540
27/03/2018,Telur Ayam Ras,Kg,21740
28/03/2018,Telur Ayam Ras,Kg,21610
29/03/2018,Telur Ayam Ras,Kg,22640
1/3/2018,Telur Ayam Kampung,butir,2340
2/3/2018,Telur Ayam Kampung,butir,2340
5/3/2018,Telur Ayam Kampung,butir,2530
6/3/2018,Telur Ayam Kampung,butir,2470
7/3/2018,Telur Ayam Kampung,butir,2420
8/3/2018,Telur Ayam Kampung,butir,2490
9/3/2018,Telur Ayam Kampung,butir,2520
12/3/2018,Telur Ayam Kampung,butir,2370
13/03/2018,Telur Ayam Kampung,butir,2520
14/03/2018,Telur Ayam Kampung,butir,2380
15/03/2018,Telur Ayam Kampung,butir,2420
16/03/2018,Telur Ayam Kampung,butir,2520
19/03/2018,Telur Ayam Kampung,butir,2580
20/03/2018,Telur Ayam Kampung,butir,2380
21/03/2018,Telur Ayam Kampung,butir,2460
22/03/2018,Telur Ayam Kampung,butir,2380
23/03/2018,Telur Ayam Kampung,butir,2490
26/03/2018,Telur Ayam Kampung,butir,2330
27/03/2018,Telur Ayam Kampung,butir,2490
28/03/2018,Telur Ayam Kampung,butir,2500
29/03/2018,Telur Ayam Kampung,butir,2430
1/3/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12300
2/3/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12300
5/3/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12360
6/3/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12260
7/3/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12460
8/3/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12300
9/3/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11900
12/3/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12240
13/03/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12640
14/03/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12440
15/03/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11940
16/03/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12240
19/03/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12260
20/03/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11960
21/03/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12060
22/03/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12060
23/03/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12260
26/03/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11860
27/03/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11850
28/03/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12100
29/03/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12500
1/3/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10200
2/3/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10200
5/3/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10240
6/3/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10140
7/3/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10140
8/3/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10140
9/3/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,9640
12/3/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10140
13/03/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10640
14/03/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10040
15/03/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10540
16/03/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10740
19/03/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10740
20/03/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10740
21/03/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10240
22/03/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10340
23/03/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10790
26/03/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10790
27/03/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10350
28/03/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10400
29/03/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10140
1/3/2018,Susu Bubuk Kaleng Merk Bendera,buah,44567
2/3/2018,Susu Bubuk Kaleng Merk Bendera,buah,43233
5/3/2018,Susu Bubuk Kaleng Merk Bendera,buah,44333
6/3/2018,Susu Bubuk Kaleng Merk Bendera,buah,44333
7/3/2018,Susu Bubuk Kaleng Merk Bendera,buah,44333
8/3/2018,Susu Bubuk Kaleng Merk Bendera,buah,44000
9/3/2018,Susu Bubuk Kaleng Merk Bendera,buah,42667
12/3/2018,Susu Bubuk Kaleng Merk Bendera,buah,44333
13/03/2018,Susu Bubuk Kaleng Merk Bendera,buah,43000
14/03/2018,Susu Bubuk Kaleng Merk Bendera,buah,44333
15/03/2018,Susu Bubuk Kaleng Merk Bendera,buah,44333
16/03/2018,Susu Bubuk Kaleng Merk Bendera,buah,43000
19/03/2018,Susu Bubuk Kaleng Merk Bendera,buah,43233
20/03/2018,Susu Bubuk Kaleng Merk Bendera,buah,43233
21/03/2018,Susu Bubuk Kaleng Merk Bendera,buah,44567
22/03/2018,Susu Bubuk Kaleng Merk Bendera,buah,44433
23/03/2018,Susu Bubuk Kaleng Merk Bendera,buah,44433
26/03/2018,Susu Bubuk Kaleng Merk Bendera,buah,43233
27/03/2018,Susu Bubuk Kaleng Merk Bendera,buah,44067
28/03/2018,Susu Bubuk Kaleng Merk Bendera,buah,44567
29/03/2018,Susu Bubuk Kaleng Merk Bendera,buah,44333
1/3/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42833
2/3/2018,Susu Bubuk Kaleng Merk Indomilk,buah,41500
5/3/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42500
6/3/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42500
7/3/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42500
8/3/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42100
9/3/2018,Susu Bubuk Kaleng Merk Indomilk,buah,40767
12/3/2018,Susu Bubuk Kaleng Merk Indomilk,buah,41733
13/03/2018,Susu Bubuk Kaleng Merk Indomilk,buah,40400
14/03/2018,Susu Bubuk Kaleng Merk Indomilk,buah,41733
15/03/2018,Susu Bubuk Kaleng Merk Indomilk,buah,41733
16/03/2018,Susu Bubuk Kaleng Merk Indomilk,buah,40400
19/03/2018,Susu Bubuk Kaleng Merk Indomilk,buah,41500
20/03/2018,Susu Bubuk Kaleng Merk Indomilk,buah,41500
21/03/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42833
22/03/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42600
23/03/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42600
26/03/2018,Susu Bubuk Kaleng Merk Indomilk,buah,41500
27/03/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42167
